content,score
sangat membantu,5
metode pembelajaran yg sangat bagus,5
mantapp banget,5
Membuat otak menjadi pintar😎😎😎😎. Terima kasih Duolingo 🥰🥰🥰,5
"aplikasi ini sangat membantu sekali saat seseorang ingin belajar bahasa, aplikasi ini sangat menyenangkan dan pelajarannya mudah dipahami. semoga kedepannya selalu sukses yaa terimakasih<3",5
good,5
bagus sekali 🤩🤩,4
"Ini aplikasi nya bagus,tetapi kenapa b.ingg harus yang basic dulu🤬",5
bagusss,5
bagus bangeeeeettttt,5
"Pas udah update jadi bagus banget aplikasi nyaa,, belajar semua bahasa sesuai sebagai pelajar Indonesia jadi makin bagus, ga Inggris terus ❤❤,, ditambah ada kursus math dan music nya,, jadi makin top deh ni app,, aku mau usul dong,, tambahin kursus nyanyi nya yaa (sing course) klo boleh,, kalo ada sing course nya pasti makin bagus aplikasi ini,,, Terima kasih Duo,, Thank you,,,, i love Duolingo (✿ ♥‿♥) (♥ω♥*) 👏( 'ω' )👏( 'ω' ) 💗💗",5
sangat menyenangkan kan sekaliii!!!🤗🤗🤗,5
duolingo bisa bahasa Indonesia dan Malaysia dan Thailand dan Vietnam dan Filipina dan Inggris saya suka padanya karena dia bisa menjadi salah satu dari tiga bagian yaitu bagian yang paling banyak di sukai oleh banyak orang saya suka padanya duolingo bisa menjadi alternatif yang lebih baik dari pada itu juga terdapat banyak sekali orang yang lebih besar daripada yang lain dan menarik setiap hari untuk mendapatkan penawaran ini kami akan memberikan informasi yang menarik dari pada guru pintar klu,5
seruuu sekali belajar nya,4
yang nanya ini aplikasi jelek ini tuh bagus benget buat kita tau bahasa Inggris dll makanya download ya gratiss lhoo....,5
ok,5
sangat bagus,5
👍 bagusnya,5
nyebelin banget yang musik coba toyland harusnya sempurna malah tidak sempurna tidak ada satupun bintang,1
ini sangat bagus karena cita cita saya jadi guru Inggris,5
"ok, senang sekali",5
"iklannya banyak bet anjir, tiap selesai belajar muncul mulu tu iklan, tapi apk duolingo seruh sih bisa belajar bahasa apa pun yang kita mau, tapi saran ku di kurangin ya iklanyaa, tenkyu duolingo udah ngajarin banyak bahasaaa🫰🏿",4
Perfect Game,5
i love u!!,5
senang bgt,5
bagusss,5
good,5
"mantep si , buat aku jadi pinter b.ing 👍🏻👍🏻⭐",5
"bagus,aku jadi bisa berbahasa asing,dan di duolingo kita bisa belajar lebih dari satu bahasa,kalau aku sih belajar tiga bahasa,China,English, and France",5
apk nya super bagus dan seru ayo dowload sekarang,5
game ini mengajarkan ku bahasa Inggris aku jadi tau bahasa Inggris aku sangat senang,5
seru,5
bisa untuk belajar aku,5
bagus banget pokoknya,5
membantu 💪🏻👍🏻,4
sangat bermanfaat,5
bagus bisa memperlancar bahasa inggris saya dengan baik maupun bahasa yang lain,5
baguus bangettt🔥🔥,5
bagus,5
"sebenarnya aplikasi nya bagus, cuma iklan nya apakah bisa di kurangi sedkit?",3
seruuu,5
mantap,5
lumayan cukup membantu untuk belajar bahasa baru dan ada kursus lainnya juga seperti musik dan mtk tapi salah satunya saya mengikuti yang musik sih karena saya suka. ya pokonya membantu banget dan seru banget buat mendukung pendidikan terus kalo suatu waktu mah pergi ke mana pun diawal juga dikasih pertanyaan untuk apa belajar duolingo ada yang buat mendukung pendidikan dan meningkatkan karier dll. segitu aja :v,5
baguss bangetttt,1
Bintang Ini Sudah Kita Dikasih Nilainya,5
sagat mengasikkan 😋👍,2
mudah tapi soalnya sama-sama semua,4
sangat membantu,5
i love you duo❤,5
sangat luar bisa juga bisa balajar dengan tenang 🤭,5
sangat bagus dan melatih bahasa Inggris saya,5
keren,5
saya senang belajar di Duolingo,5
dualingo sangat membantu ku untuk belajar bahasa Inggris,5
keren banget,5
sangat baguss,5
bagus 👍🏻👍🏻👍🏻👋🏻👋🏻👋🏻,5
sangat menarik dan mengesankan,5
bagus untuk belajar bahasa untuk pemula khususnya saya,5
sangat baik,5
i likeee itt!!!,5
bagus,5
sangat untuk memperdalam pengetahuan dan memperbaiki tata cara bahasa,5
i love this app,5
"very good, i'd like",5
amazing,5
seru tod ini aplikasi,5
seruuuu.,5
good,5
love it! danke 💖,5
bagus,5
akan lebih bagus bila nyawanya tak terbatas,5
"Sangat bagus, membantu belajar bahasa dengan menyenangkan",5
ok lah bisa belajar b Inggris,5
"ini menyenangkan,saya bisa menghapal dari dasar , dan saya bisa bermain pembelajaran di Duolingo✨✨😃💯.",5
Nice,5
sangat mudah untuk pemula,5
"Bagus bgt.. bisa untuk ke luar negeri.. bagi yang mau ke luar negeri, cocok bgt pakai aplikasi belajar ini.. Ada paket keluarga juga.. pokoknya mau belajar bahasa itu seru kalau di duolingo ini.. teruskan update nya ya duo!✨",5
Amazing,5
mantap yg tdi nya bego jd pntar asalkan bersungguh²,5
bagus,5
apk yang sangat membantu sekali untuk belajar bahasa,5
i always enjoy the lesson,5
sangatt menbantu,5
seruuuu,5
sangat bagus sekali terimakasih ohayo,3
kerenn,5
game ini bagus dan bisa membuat kita pintar dalam bahasa Inggris🇬🇧,5
good,5
"keren banget, aku suka, sangat membantu, ringan, Kapan lagi pake aplikasi gratis sebagus ini, rekomendasi buat yang baru mau belajar bahasa inggris, thank's duolingo",5
terimakasih atas semuanya duolingo,5
sangatt membantu saya,5
suka dan nyaman,5
game ini sangat bagus untuk belajar bahasa👍🏻,5
mudah,5
perfect,5
this is so good for learn English,5
baguss sangatt membantu,5
sangat membantu,5
perbaiki dan tingkatkan lagi,1
seru untuk belajar,4
"baguss,aku semakin excited untuk belajar bahasaa inggriss maupun bahasa lainnyaa!!",5
aplikasi yang sangat bagus,5
"apknya sangat baik dan sempurna, apk in mmbntuku bljr bhsa' dri nol sampai udah bisa brbicara dan membuat kalimat dengan kata kerja lainnya trimaksih duoo🤗",5
Ini bagus Bgt aku suka Dia Sering Puji² aku aku suka Kalian Harus Coba kalo lagi gabut Ayo lihat Bagaimana Duolingo Mengajar kita!,5
bagus tuk bisa lebih mudah belajar bahasa Inggris,5
terlalu bagus,5
mantaabbb....👍👍👍,5
sangan membantu saya suka,5
bisa membantu kita belajar tapi gak bisa offline,1
mudah di pelajarani,4
sangat membantu cara untuk belajar bahasa inggris dengan mudah,5
terimakasih saya jadi bisa beberapa bahasa,5
saya sukaaaaa,5
senang belajar lagi,5
"kikir sih, tapi mantap",4
bagus,5
mudah banget,5
mantappp😁😁😁,5
sangat membantu dan super keren fitur nya,5
Belajar English little little i can🔥🔥🔥🚀,5
sangat seru saya saja sampai kecanduan ini cocok untuk belajar bahasa Inggris,5
bagus bikin aku tertagih,5
sangat membantu dalam belajar bahasa Inggris,5
MasyaAllah🥰🤩🤩,5
bagus untuk belajar dan untuk persiapan juga,5
mantap,5
ini sangat bagus terimakasih saya menjadi bisa bahasa inggris,5
seru,5
keren!,5
"keren aplikasi nya, sedikit bnyk lbh tau cara berbahasa inggris.",5
seruuu,5
Jadi makin seru sih buat belajar bahasa nya,5
good apk,5
"aplikasi ini sangat bagus. tapi saran dan pendapat saya untuk developer Duolingo, tolong untuk bagian bahasa buat juga ada bagian speaking seperti bahasa Inggris, aku lihat waktu aku pilih bahasa Perancis tidak ada bagian speaking, jadi rasa kurang untuk pembelajaran diluar bahasa Inggris. Jadi di mohonkan pihak developer dapat mendengar dan membalas saran/pendapat saya ini agar dapat mengembangkan aplikasi ini jadi lebih baik.",4
"BAGUS BGT APK NYA, GAK BOSENIN BHS INGGRIS NYA",5
aku suka ini karena bikin otak berfikir dan bisa bahasa Inggris dll,5
ini dia membuat aku makin jago bahasa Inggris dan aplikasi lumayan seru buat belajar jadi bagus mantab coy,5
sangat bagus,5
sangat menyenangkan,5
good~,5
belajar nya ga ngebosenin,5
aplikasi ini membuat saya bisa mempelajari bahasa Inggris dengan mudah,5
cukup enjoy dan efektif belajar bahasa korea di duolingo. memang bukan yg pro banget ky buat tes tapi okelah buat belajar otodidak sekedar bisa ngerti drakor,5
"assalamu'alaikum,aplikasi ini saya sarankan untuk kamu yang ingin mengisi waktu kosong. pokonya bagus banget,it's very good . thank's , assalamualaikum wr.wb",5
Ada kata² LGBT nya.. masa sesama laki² panggilannya honey,1
gedek bgt SM iklan nya,2
sangatlah bermanfaat bagi kita,5
bisa lebih mengerti bahasa bahasa lain berkat duolingo,5
sangat bagus untuk belajar,5
mantap,5
menyenangkan,5
sangat bagus untuk pembelajaran ini untuk saya jadi saya kasih bintang lima karena pembelajaran yang bagus tetapi untuk game nya bagus oke segitu saja pendapat saya,5
sangat baik untuk kita pemula,5
mnatap,5
SERUU,5
aplikasi ini cukup bagus untuk belajar bahasa yang kita inginka,4
good,5
"seru banget kalo belajar sama nih aplikasi,aku bener bener suka, ya walaupun sering kali ada jawaban yang salah atau jawaban nya susah tapi menghibur banget,ini sih wajib di kasih bintang 5 cocok untuk teman belajar di rumah",5
"aplikasi yg bagus bisa mendukung anak"" untuk belajar dasar bhs Inggris.. coba kalo bisa jangan berbayar.. d buat umum sj... kan kalo banyak yg download yg punya aplikasi tetap dpt penghasilan.. terimakasih",5
gw sangat rekomendasi aplikasi ini,5
hebat,5
sangat bagus😎👍,5
bagus sekali,5
ini bisa membantu kita mahir dalam bahasa inggris sedikit demi sedikit,5
Mantap,5
mantap,5
suka,5
bagus Banget aplikasinya bisa ngebantu aku buat belajar lebih giat Lgi ni biar bisa Pase dlam bahasa Inggris dan Korea,5
"Aplikasi ini sangat bagus sekali, memberikan sensasi yang seru dalam belajar bahasa, tampilan dan design nya pun sangat menarik dan menggemaskan, namun agak disayangkan karena iklan yang berlebihan. Hal itu sangat berpengaruh pada semangat belajar saya. Kalo boleh saran lebih baik iklan promosi berlangganan nya di kurangi misalnya setelah menyelesaikan 2× pembelajaran, jadi tidak terlalu lama. Thank you!",4
"i love dualingo, recommended for you if you want to learn another language. ☺️",5
mantap,5
aku kasi bintang 5jt,5
"sebenernya bagus bagus banget malah cuma sayang suka ada pemeliharaan yang bikin ga mood buat belajar, lagi seru serunya eh ada pemeliharaan. saran aja klo ada pemeliharaan buat ngebikin aplikasinya lebih sempurna dan nyaman buat waktunya jam 12 keatas(malem) biar ga ganggu karena kadang siang lagi sibuk jadi ada waktu buat belajar, belajarnya malem eh malah ada gangguan.",5
aku suka apl ini karna aku tipikal orang yang kalo lagi belajar harus ada suara nya jadi aku suka apk nya,5
"Keren bgt sihh ini... selain belajar bahasa asing, ada pembelajaran yg lainnya juga... mantap bgt dehh ini, recommend buat yg msh pemula yg ingin bljr bahasa asing...",5
"ini kenapa ga bisa absen woi, server perbaikan kenapa malem si, mana api gue belum nyala dan sekarang ini jam 10:55 tolong",1
lumayan lah,4
"duolingo nya lucu,aku jadi semangat belajar😆😆",5
aku suka Duolingo,5
sangat bagus membatu saya untuk belajar bahasa Inggris,5
saya sudah mencapai runtutan 222😁 saya ingin memberikan saran. ketika saya bermain di malam hari duolinggo sangat lah berisik. tolong buat fitur malam☝️🤓 agar aplikasi lebih redup dan tenang untuk dimainkan disaat malam hari👻,5
good,5
sugoi,5
sangat membantu,5
"duo lingo aplikasi belajar bahasa luar terbagus! ya kita mulai diajarkan dari kata dasar, tapi kurangnya cuma 1. kadang saya kesal duo lingo isi nyawa 5, nah bagi yang benar benar belajar akan tetapi nyawanya cuma 1 itu semangat pasti menurut, ya apa lagi isi 5 nyawanya tanpa berlian juga terlalu lama, jika boleh isi nyawanya 5 itu sejam sahaja",5
gord job,5
duolingo sangat membantu aku belajar bahasa negara lain. selain tentang pembelajaran mereka juga menyediakan pembelajaran dengan sebuah game yang seru,5
Aplikasi ini sangat bermanfaat!! dan kita bisa mengenal bahasa lain!,5
sangat membantu,5
"good bagus ini aplikasinya,sapa saja yang belajar terus menerus pasti lancar bahasa inggrisnya apalagi diupgrade.👍👍👍👍👍👍",5
"bagus, ampe aku pandai bicara bhasa Inggris:)",5
"Sorry, The app is very good. But Please Fix some Bugs in Japan Language Learning 🙏🏻",3
Duolingo sangat keren!!!!!! aku sangat suka aplikasi iniii!!! tapi ada beberapa yg kurang aku suka walau itu dapat meningkatkan wawasan ku tentang bahasa yg kupelajari terimakasih Duolingo aku jadi mahir bahasa yg aku impikan 🥺😚🥰,5
bagus mudah di pahami asala kn pokus aja,5
Sangat membantu,5
"bagian belajar pada suara selalu salah di sistem padahal aku udah jawab dengan benar, setiap jawaban salah padahal jawaban benar membuat hilang nya hati jadi sedikit sulit dan kesal setiap menjawab bahkan pernah sampah 10kalu salah padahal kosa kata nya sudah benar, tolong tingkatkan kualitas lagi",4
menyenangkan,5
bisa buat bersosial dengan orang asing,5
"bagus , seru",5
keren💕,5
suka bangettt dan mudah untuk buat pemula,5
oke,5
ini bikin aku lupa tapi bikin bisa bahasa inggris gak perlu ngapalin pake buku inggris pake ini aja Duolingo sangat hebat,5
Duolingo sangat asik bisa cari teman dan bisa belajar bersama,5
semangat,5
"aplikasi ini bisa bikin anak cepat menambah atau menangkap apa yang sudah di ucapkan oleh ai nya dan aplikasi berguna untuk anak anak sekolah seperti SD,SMP, SMA,atau SMK, saya yang belajar bahasa inggris nilai nya kurang belajar dengan ini saya bisa menanbah nila nya menjadi lebih meningkatkan",5
sangat membantu 👍😹,5
Sukaa✨,5
this app is very good,5
baguss,5
it help much to learn language,5
good,4
lumayan tapi gausah marah juga,3
"seru belajar bahasa Inggris di Duolingo, mudah dan praktis 👍👍👍",5
"lumayan lah,tapi bahasanya kurang lengkap,jadi gak leluasa buat belajar",3
sangat menyenangkan,5
sangat bagus,5
kayak game seru👍🏻👍🏻👍🏻,5
good,5
maaf hanya 3 saya kasih bintang seru pertama lama-lama ada sifatnya ikan yg minta uang jadi terganggu dan tidak bisa lanjutkan lagi...,3
❤️,5
"Aplikasi membuat saya menjadi lebih pintar dalam bidang B.Inggris, saya klo ada waktu luang bisa belajar dari sini, udh ini mah mantep ini aplikasi 👍👍",5
"Saya menyukai Duolingo sebagai media belajar bahasa. Namun, saya merasa tidak nyaman dengan materi yang menampilkan pasangan sesama jenis. Akan lebih baik jika diberikan opsi untuk memilih jalur pembelajaran tanpa unsur tersebut. Terima kasih.",1
"Aplikasi nya bagus bangat, sangat cocok untuk pemula. Tpi sya srankn jngan mnggunkan ini sbgai patokan blajar bhasa krena wlaupn kta blajar stahun/lbih mnggunkn apk ini blum tntu kta bsa dlam prcakpn shari-hri cntohnya wktu kta ngmong itu jdi kaku dan bingung. Sya srankn gnakn jga apk blajar lainnya. Tpi ini jga trgntung tpe msing2 orang. SEMANGAT BUAT KALIAN..",4
"seruu tidak bosan saat belajar, mengajarkan anak untuk belajar berbahasa luar!",5
baguss sekali,5
"seru banget ,baik ,dan tidak ada yang salah dan juga sangat menyenangkan 😃😃😃🥰🥰😅😁😁",5
"sangat menyenangkan untuk beajar banyak bahasa asing baru untuk pemula seperti aku,, thank you so much duolingo",5
Sangat membantu dalam mengembangkan kemampuan bahasa Inggris,5
menyenangkan dan bisa membantu melancarkan bahasa yang ingin dipelajari,5
bagus aku menjadi lumayan pintar bahasa inggris,4
"kyk bahasa Korea gitu dikasih tulisan latinnya dong biar pas bacanya, Klo cuma aksara Korea sama suaranya kadang gak bisa ngikutin..",4
"sukaaa bangettt bnerrr bener bisaaa ngabantuuu buat ulangan kitaaa lo gaissss cepettt dowload buat yg belumm paham b Inggris atau bahasa lainnya,,di situ kalian juga mau belajar bleh bhasa Jepang dll loo gaisss, sukaaa bangett pokonyaa🤍🤍🤭",5
saya suka dengan apilikasi duolinggo,5
mudah dan nyaman,5
The best app,5
bagus,5
seru,5
keren juga nih,5
aplikasi ini keren dari dulu.. terima kasih duolingo kamu sangat membantuku dalam belajar bahasa. berharap bisa pakai falisitas bicara dengan lili tanpa bayar.,5
sangat bagus saya jadi pintar dalam bahasa Inggris,5
aku kasih 4 bintang dulu kalo gak ada iklan trus aku kasih 5 bintang,4
ini sangat bagus saya hampir bisa bahasa apapun yang bisa saya jadi suka terhadap aplikasi ini 👍🏻👍🏻,5
Asik,4
sangat seru dan gampang di pahami,5
bagus membantu dan mudah di hafal,4
aku suka belajar bahasa inggris di sini karena menyenangkan dan seperti game,5
bagus untuk dipelajari dan mudah untuk dipahami,5
bgus untuk pemula atau profesional mantap,5
aku senang belajar Inggris,5
good,5
membantu untuk memahami bahasa inggris dari nol banget,4
good,5
sangat membantu buat belajar bahasa inggris thank you 🫰,5
sangat bagus,5
so much fun ☺️,5
sangat membantu dan sangat mensupport kita untuk belajar lebih giat,5
"This is very good and very helpful in learning language, it is highly recommended for students.",5
permainan kebanyakan iklan,5
Sangat membantu saya untuk melatih bahasa Inggris saya yang kurang bagus,5
"saya jadi lebih lancar berbicara dengan bahasa Inggris, kuncinya adalah konsisten dan rutin👍👍👍",5
bagus banget memudahkan untuk belajar atau saat ada PR bahasa Inggris,5
aku semakin lancar bahasa Inggris dan nilai di sekolah ku naik drastis berkat aplikasi ini,5
sangat membantu untuk pemula yang mau belajar bahasa inggris secara otodidak,5
good,5
"Baguss bgt, Duolingo bikin aku makin lancar bahasa Inggris 💗",5
cool,5
sangat membantu buat pemula yang ingin belajar bahasa Inggris dan bahasa lainnya,5
suka deh,5
mantap pokoknya,5
"hmmm lumayan,ini juga seru sih kalo belajar di sini",4
aplikasinya sangat seru untuk belajarr,5
aplikasi ini sangat bagus,4
bagus buat belajar bahasa 👍🏼👌🏼,5
belajar bahasa di doulingo sangat luar biasa,5
ini sangat cocok untuk anak sd karna mirip game jadi gak bosan,5
aplikasi. sangat. bagus,5
baikk sekaliii,5
sangat menyenangkan untuk belajar,5
baguss,5
sangat baik saya banyak belajar dari Duolingo,5
sangat bagus,5
kenapa saya tidak bisa nonton iklan buat mendapatkan hati?,4
awesome,5
too many random word without any meaning,3
great,5
Super,5
aplikasi ini sangat seru dan menarik,5
bagus untuk bermain sambil belajar,5
bagus,4
"aplikasi ini sangat bagus dan sangat membantu untuk kita belajar bahasa Inggris , lalu bukan pelajaran bahasa Inggris aja tapi masih banyak aku sangat suka aplikasi Duolingo, terimakasih yang sudah menciptakan aplikasi Duolingo ini 😁🙏🤗",5
bagus,5
aplikasi yang bagus untuk mempelajari bahasa asing,4
soulles ai,1
seru nambah pengetahuan bahasa ku,5
"seru bgttt! cm males pake hati segala sih, cm gpp sih, belajar dr kesalahan!",4
aplikasi terbaik,5
"bagus buat yang mau belajar bahasa inggris ban banyak pelajaran bahasa lain ada korea,jepang, matematika,musik masih banyak lagi cocok buat yg lagi pengen belajar bahasa👍🏻👍🏻",5
aku suka banget belajar di duo linggo aku jadi bisa bahasa Inggris dengan mudah,5
"asik belajar nya, tapi gak langsung dari basic ya, Duolingo ternyata pro LGBT. Makin lama makin banyak iklannya kalo abis ngerjain tantangan.",3
good language,4
saya sangat menyukai aplikasi Duolingo karna sangat membantu hafalan saya beduk demisekit terimakasih banyak atas aplikasi Duolingo ny,5
💯,5
i enjoy learning in Duolingo instead of in class!,5
"sumpah ini aplikasi nya bagus mulai dari belajar bahasa inggris dan bahasa lainnya , masih da lagi yaitu matematika dan musik bebas pilih... loh apalagi cocok buat yang belum bisa bahasa inggris atau lainnya ... padahal cuman seminggu langsung ngerti ≧∇≦",5
lumayan bagus tapi suka ada iklan,4
"bagus banget apk nya unt belajar. sangat membantu. tapi sayang, premiumnya mahal karena harus bayar tahunanm semoga ada yang bulanan atau 3/6 bulanan Pembayaran nya. thanks duolingo.",5
menarik dan menantang,5
plis developer gimana cara matikan getaaran itu saja ngak enak banget,4
membantu,5
belajar di duolingo cukup menyenangkan,5
doulingo membantu saya untuk berinteraksi lebih tinggi dengan percakapan bahasa inggris,5
kenapa sekarang tidak bisa nambah hati dari iklan kalau pencen iklan malah mental gak ada iklan nya tolong perbaiki bug ini karena saya pengguna gratis kalau gak ada iklan gak bisa nambah hati lagi,4
tidak merugikan,5
cara belajar nya seru bangett kayak main tau saya rating beuh bagus saya kasi bintang 5 karna bagus bgtt🥳,5
"kalo bisa untuk belajar bahasa jepangnya, tapi kata pengantarnya bahasa indonesia",4
enak banget kalo kita lagi gak belajar aplikasih matanya berubah,4
sangat bagus,5
sangat membantu untuk yg sedang belajar bahasa asing,4
bagusss,4
baik,5
very fun,5
karena kalo salah bisa di koreksi lagi,5
"bosan, aku enggak mau main dulu aku mau main kalo duolingo kasih aku iPhone 11",2
menyenangkan dan mudah di pahami,4
bikin pintar,5
cihuy ☝️😜☝️,5
seru bagus aku jadi bisa matematika dan aku jadi pintar,5
baguss banget buat belajar bahasa gk bayar lagi,4
mantap,5
this duolingo is very nice,5
baguss banget aku sampai2 pintar bahasa inggris karna aplikasi ini,5
"rekomen banget nih apk, gampang cara penyampaian dan isi materinya, jadi mudah buat diingat dan di hapalin 🌟🌟🌟🌟🌟",5
sangat membantu sy mempelajari bahasa inggris lebih mudah,5
sangat menyenangkan,5
saiko,5
bagus aplikasinya bagus ga bikin bosen dan seru,5
bagus,5
game ini membuat saya pintar,5
sangat bagus sekali,5
good study leaguage aplication,5
aku awalnya downloand ini cuma iseng tapii sekarangg aku malah lancar b.inggriss baguss siihhh buat belajar and mudah dimengertii 👍🏻🫰🏼,5
Sangat bagus untuk belajar bahasa Inggris atau yang lain,5
sangat membantu,5
wow this is mapel favorit,5
Senang belajar di duo 👍,5
"bagus untuk saya, karena saya sudah lama ingin belajar berbahasa inggris tanpa les. terimakasih yang sudah membikin aplikasi duolingo, saya sekarang sudah bisa berbahasa inggris namun agak sedikit kaku saja. thank you so much duolingo !❤️🤩",5
bagus banget,5
"apk ini sangat bagus, tetapi saya ingin menggunakann widgets streak duolingo, tapi tidak bisa... padahal saya ingin sekali. dihandphone orang lain bisa tetapi di handphone realme c21y tidak bisa.",3
sangat membantu,5
Menyenangkan,5
game yang sangat menyenangkan,5
good luck 👍,5
keren,5
"aku jadi bisa berbicara dengan bahasa Inggris dengan cepat,karna duolingo",5
nicee,5
aplikasi sangat bermanfaat dan nyaman untuk belajar untuk anak-anak yang belajar di Aplikasi ini sangat bermanfaat jadi Saya menyarankan dengan aplikasi ini karena Kita bisa belajar apa saja,5
aku jadi jago bahasa Inggris 🥳,5
sangat membantu,5
terimakasih untuk doulingo karna anda saya bisa bahasa Jepang arigatou gozaimas,5
sangat bagus,5
sangat seru belajar sambil bermain,4
sangat membantu untuk kami yang masih remaja/anak ank,5
bagus aku yang gak ngerti bhs inggris sekarang udah bisa jadi aku kasih rating nya limanya,5
sangat membantu sekali untuk belajar bahasa asing khususnya untuk saya bahasa korea,5
aku bisa dua bahasa,5
baguss banget jadi bisa belajar bahasa inggris,5
enak bisa berlatih TPI ada kekurangannya soal nya kan Lov nya abis terus gak bisa dimainkan lagi TPI lumayan lah,5
seru banget belajar di sini kayak game tapi tetap masuk itu ke otak,5
bagusss banget aku sukaaa,5
bagus nyaaaaa,5
bagus,5
"bagusss, belajar jdi makin asikk",5
bisa membantu belajar b. Inggris,5
Bagus untuk pemula,5
aku suka dan soal nya gampang 🥰🇯🇵🇯🇵,5
dah belajar bahasa indonesia dan bahasa inggris,5
"bagus,skrg aku bisa b.english",5
good for learning,5
"mantap. masih ada berbagai kekurangan misalnya tidak ada roleplaying kalau belajar dari bahasa indonesia ke bahasa inggris, atau fitur belajar katakana, hiragana, kanji masih belum ada kalau belajar dari bahasa indonesia ke bahasa jepang, tapi yang penting fitur panggilan video masih ada.",5
aplikasi nya bagus banget aku belajar di sini.nilai bahasa inggris aku di sekola jadi naik.juga gampang di fahami gk kaya di sekola susah di fahami.juga aku jadi bisa berbahasa inggris dengan lancar 😆,5
i love this apk,5
lumayan lah,4
"Enak sih belajarnya, Gak bosenin",5
aku suka belajar santai dan cepet ngerti aku jadi lancar gara gara dia😖😖,5
bagus bangettt,5
bagus🤭,4
BAGUSD,5
keren aku suka!!!!,5
"saya sangat senang, karena sangat membantu untuk belajar bahasa yang beragam",5
sangat bagus bagi saya karna anak saya dapat belajar bahasa jepang.Dengan cepat dan ini seperti permainan game jadi sangat menyenangkan dan mengajarkan tentang bahasa . terimakasih Duolingo,5
coba dulu,1
bagus sekalii senang ❤,5
karena ini sangat membantu sekali untuk aku yang lagi belajar bahasa Inggris,5
aplikasi nya bagus cocok buat belajar semua bahasa,5
maaf saya kasi 4 dulu ya soal nya ada kata kata agak kurang jelas tapi ini simpel bgt buat belajar seru bgtt saya suka,4
sangat menyenangkan,5
ini seru banget gara gara Duolingo nilai b Inggris ku baguss terus kayak belajar sambil main,5
Mayan bagus lah tapi seru juga,4
aplikasinya enak banget buat belajar aku jadi tau cara nulis b.inggris dengan benar,5
kerennnn,5
bagus,5
sangat bagus untuk berbahasa,5
applikasi yang aku rekomendasiin buat yang mau belajar bahasa Inggris atau pun bahasa lainnya. buat pemula juga bisa aku sudah mempelajari bahasa baru hari ini dan seterusnya. Terima kasih Duolingo 😄,5
sangat berguna untuk orang awal,5
belajar bahasa dengan Duolingo sangat menyenangkan,5
"dia mengajari ku bermacam macam bahasa inggris,saya suka aplikasi duolingo",5
bagus banget balajar ga bosen walopun mulai dari nol lagi :),5
"Big thumbs up for Duolingo! 👍👍👍 This app truly changed the way I learn languages and math. Concepts are easy to grasp, and the exercises are interactive. Highly recommended!",5
"sangat bermanfaat bagi saya, bisa belajar dengan baik 👍",5
sangat bagus bahkan bisa buat pembelajaran bagi saya dengan bahasa yang saya mau,5
telah mengajari saya BHS inggris jadi saya hapal bahasa inggris makasih duolingo,5
SEMPURNA! ✨ ini adalah tempat belajar yang sangat bagus dan tanpa minus,5
ntap,5
kita dapat belajar sambil bermain,5
baguss bangetttt,5
baguw,5
bgs bgt kita juga bakal semakin tau bahasa lainnya,5
mendukung lgbt,1
sangat membantu sedikit demi sedikit lama lama jadi bukit,5
BAGUSSS BANGETT SUKAA,5
"alhamdulillah sedikit"" jadi ngerti hehe makasihhh duolingo😘",5
sangat cocok untuk belajar bahasa tanpa harus bayar,5
"ayoo lah developernya kek mana ni, habisin hati buat nyusun kalimat yang kata-katanya gada, lalu ada mau ngisi hati mau nonton iklan tapi ga muncul tu iklan kek mana aku belajar mana lama banget healing hatinya, the main problems is iklan, perbaikin plisss masalah iklan, jangan serakah dengan menghapus fitur gratis kek mana orang mau belajar",2
Bisa membantu belajar bahasa inggris Bisa membantu otak agar lebih pintar Baguss bgt ❤,5
animasi yg bagus,5
"aplikasikan duolingo lumayan membantu saya menemukan kosa kata baru dan sangat cocok untuk pemula,dan jika bisa duolingo diupgrade lagi biar tambah seru",5
Sangat bagus melatih bahasa Inggris untuk mengisi waktu kosong👏🏻,5
aplikasi ini sangat bagus aku suka.,5
keren,5
sangat membantu sya dlam belajar,5
sangat menyenangkan,5
menyenangkan cara belajar nya juga mudah di pahami,5
"sangat bermanfaat, saya jadi bisa bicara bahasa inggris sedikit demi sedikit 🗿👏🏻",5
bagus sekali. pembelajaran nya juga seru dan menyenangkan 🥰🥰🥰,5
sangat menyenangkan dan mudah dipahami👌,5
sangat berguna untuk membantu saya belajar bahasa Inggris dan yang lainnya,5
hmmm lumayan buat belajar,5
bagus dalam membentuk seseorang untuk bisa berbicara dan menuliskan bahasa inggris,5
"recommended untuk semua yang pengen belajar bahasa, matematika dan musik 🫶🫶🫶🫶🫶",5
bagus untuk belajar,5
sangat bagus,5
its the best,5
"belajarnya menyenangkan, dan variatif soalnya. bisa mendengarkan, menulis, dan membacanya❤",5
"bagus banget, jadi bisa bahasa inggris pelan pelan walaupun nggak terlalu fasih tapi jadi bisa,",5
keren,5
sekarang aku bisa belajar bahasa Inggris dengan benar,5
belajar jadi lebih mudah dengan duolingo,5
bagusssdd,5
seru bangeet! bisa tau kata yang kita tahu ternyata salah pengucapan nya atau tidak dan memperbaiki cara bicara bahasa asing kita huuuu seruuu,5
aplikasi membosankan suara hanya itu itu saja,1
bagussss,5
"bagus,udah mulai lancar pake bhs inggris",5
aku jadi bisa belajar serius,5
